Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,ITEM0304,Snacks,2001,OUT004,Tier 1,Small,Supermarket Type2,0.069929223,0.6,2330,2
Low Fat,ITEM0320,Dairy Products,2000,OUT001,Tier 1,Small,Supermarket Type2,0.064776208,3.1,258,2
Low Fat,ITEM0332,Bakery Products,2002,OUT008,Tier 1,Small,Supermarket Type2,0.03352797,0.2,277,3
Low Fat,ITEM0374,Dairy Products,2019,OUT003,Tier 1,Small,Supermarket Type2,0.033659005,1.2,11,5
Regular,ITEM0379,Dairy Products,2012,OUT006,Tier 1,Small,Supermarket Type2,0.032215805,3.1,1132,4
Regular,ITEM0397,Bakery Products,2015,OUT006,Tier 1,Small,Supermarket Type2,0.036725173,0.1,2299,5
Regular,ITEM0401,Beverages,2006,OUT007,Tier 1,Small,Supermarket Type2,0.025857162,1.4,186,1
Low Fat,ITEM0406,Bakery Products,2009,OUT008,Tier 1,Small,Supermarket Type2,0.027472891,2.9,732,4
Regular,ITEM0407,Bakery Products,2016,OUT003,Tier 1,Small,Supermarket Type2,0.080725379,3.7,1291,4
Regular,ITEM0423,Dairy Products,2003,OUT004,Tier 1,Small,Supermarket Type2,0.027605798,0.3,867,1
Regular,ITEM0454,Beverages,2016,OUT003,Tier 1,Small,Supermarket Type2,0.017979924,4.1,2774,5
Regular,ITEM0477,Beverages,2001,OUT001,Tier 1,Small,Supermarket Type2,0.038045052,1.9,1121,0
Low Fat,ITEM0479,Bakery Products,2006,OUT009,Tier 1,Small,Supermarket Type2,0.069762123,1.3,599,5
Low Fat,ITEM0497,Dairy Products,2002,OUT003,Tier 1,Small,Supermarket Type2,0.02129688,2.3,2336,3
Low Fat,ITEM0535,Snacks,2000,OUT010,Tier 1,Small,Supermarket Type2,0.062486055,2.5,14,2
Low Fat,ITEM0555,Fruits and Vegetables,2017,OUT004,Tier 1,Small,Supermarket Type2,0.084285072,4.3,2916,4
Regular,ITEM0581,Bakery Products,2020,OUT003,Tier 1,Small,Supermarket Type2,0.026508759,4.3,873,1
Low Fat,ITEM0591,Beverages,2005,OUT010,Tier 1,Small,Supermarket Type2,0.072511003,3.2,2688,2
Regular,ITEM0652,Snacks,2016,OUT010,Tier 1,Small,Supermarket Type2,0.029558193,4.2,59,1
Low Fat,ITEM0663,Dairy Products,2004,OUT009,Tier 1,Small,Supermarket Type2,0.082938344,3.8,1518,2
Low Fat,ITEM0668,Snacks,2012,OUT002,Tier 1,Small,Supermarket Type2,0.077437256,3.8,1904,3
Low Fat,ITEM0793,Dairy Products,2014,OUT009,Tier 1,Small,Supermarket Type2,0.089088306,0.9,1233,3
Regular,ITEM0803,Fruits and Vegetables,2002,OUT007,Tier 1,Small,Supermarket Type2,0.080250426,4.1,2543,5
Low Fat,ITEM0842,Snacks,2003,OUT010,Tier 1,Small,Supermarket Type2,0.023573053,1.4,517,3
Low Fat,ITEM0855,Fruits and Vegetables,2007,OUT005,Tier 1,Small,Supermarket Type2,0.016973111,4.8,326,3
Regular,ITEM0882,Beverages,2010,OUT001,Tier 1,Small,Supermarket Type2,0.077581255,0.7,1312,0
Regular,ITEM0903,Bakery Products,2007,OUT006,Tier 1,Small,Supermarket Type2,0.099316498,0.5,2620,4
Low Fat,ITEM0906,Bakery Products,2002,OUT003,Tier 1,Small,Supermarket Type2,0.032844258,4.4,546,3
Low Fat,ITEM0930,Snacks,2009,OUT007,Tier 1,Small,Supermarket Type2,0.000400227,4.6,437,1
Regular,ITEM0956,Beverages,2006,OUT001,Tier 1,Small,Supermarket Type2,0.061584379,3.2,1392,2
Regular,ITEM0960,Bakery Products,2016,OUT008,Tier 1,Small,Supermarket Type2,0.052518069,1.6,1040,4
Regular,ITEM0966,Beverages,2014,OUT006,Tier 1,Small,Supermarket Type2,0.069322652,5,104,4
Low Fat,ITEM0988,Bakery Products,2015,OUT004,Tier 1,Small,Supermarket Type2,0.019492774,3.2,2992,2
Regular,ITEM1037,Dairy Products,2020,OUT005,Tier 1,Small,Supermarket Type2,0.081298022,4.7,1278,0
Low Fat,ITEM1054,Snacks,2017,OUT007,Tier 1,Small,Supermarket Type2,0.036113101,0.8,2093,1
Regular,ITEM1058,Dairy Products,2008,OUT009,Tier 1,Small,Supermarket Type2,0.04565693,3.4,1915,4
Regular,ITEM1111,Beverages,2004,OUT002,Tier 1,Small,Supermarket Type2,0.084340697,1,740,5
Regular,ITEM1124,Dairy Products,2002,OUT008,Tier 1,Small,Supermarket Type2,0.049024129,1.8,2661,5
Regular,ITEM1275,Fruits and Vegetables,2014,OUT006,Tier 1,Small,Supermarket Type2,0.03249478,4.5,199,2
Low Fat,ITEM1305,Bakery Products,2007,OUT006,Tier 1,Small,Supermarket Type2,0.081136331,1.7,1463,2
Low Fat,ITEM1361,Dairy Products,2019,OUT007,Tier 1,Small,Supermarket Type2,0.079071025,4.5,2560,0
Low Fat,ITEM1436,Snacks,2012,OUT008,Tier 1,Small,Supermarket Type2,0.030992116,2.6,5,4
Low Fat,ITEM1468,Beverages,2010,OUT003,Tier 1,Small,Supermarket Type2,0.09992233,2.8,2749,4
Regular,ITEM1473,Beverages,2006,OUT003,Tier 1,Small,Supermarket Type2,0.062184835,0.4,1036,3
Regular,ITEM1475,Dairy Products,2005,OUT005,Tier 1,Small,Supermarket Type2,0.056966795,4,131,3
Low Fat,ITEM1487,Beverages,2007,OUT007,Tier 1,Small,Supermarket Type2,0.011933132,1.3,2330,2
Regular,ITEM1497,Bakery Products,2000,OUT003,Tier 1,Small,Supermarket Type2,0.084394404,4.2,28,2
Low Fat,ITEM1515,Dairy Products,2011,OUT008,Tier 1,Small,Supermarket Type2,0.076554123,2.9,1852,4
Low Fat,ITEM1601,Fruits and Vegetables,2001,OUT006,Tier 1,Small,Supermarket Type2,0.017446154,4.5,109,1
Regular,ITEM1665,Fruits and Vegetables,2000,OUT002,Tier 1,Small,Supermarket Type2,0.035167764,0.3,2502,1
Regular,ITEM1691,Dairy Products,2000,OUT004,Tier 1,Small,Supermarket Type2,0.024024745,2.1,201,0
Low Fat,ITEM1706,Dairy Products,2002,OUT009,Tier 1,Small,Supermarket Type2,0.057997608,4,1869,4
Low Fat,ITEM1729,Bakery Products,2010,OUT004,Tier 1,Small,Supermarket Type2,0.090334647,3.6,902,0
Regular,ITEM1730,Bakery Products,2020,OUT008,Tier 1,Small,Supermarket Type2,0.040667414,3.2,1307,2
Low Fat,ITEM1755,Beverages,2001,OUT010,Tier 1,Small,Supermarket Type2,0.041042325,3,2074,0
Regular,ITEM1826,Fruits and Vegetables,2015,OUT010,Tier 1,Small,Supermarket Type2,0.031158287,2.8,1413,1
Regular,ITEM1850,Snacks,2007,OUT003,Tier 1,Small,Supermarket Type2,0.079071313,0,435,4
Regular,ITEM1855,Bakery Products,2016,OUT001,Tier 1,Small,Supermarket Type2,0.097243635,3,189,4
Low Fat,ITEM1912,Snacks,2014,OUT003,Tier 1,Small,Supermarket Type2,0.006929676,3.9,2316,2
Low Fat,ITEM1957,Bakery Products,2013,OUT010,Tier 1,Small,Supermarket Type2,0.097913095,1.8,1730,0
Regular,ITEM2026,Dairy Products,2019,OUT002,Tier 1,Small,Supermarket Type2,0.027257114,4.9,229,3
Low Fat,ITEM2053,Fruits and Vegetables,2012,OUT002,Tier 1,Small,Supermarket Type2,0.04491924,0.5,2716,1
Low Fat,ITEM2065,Beverages,2014,OUT007,Tier 1,Small,Supermarket Type2,0.001914219,1.7,272,3
Low Fat,ITEM2149,Dairy Products,2007,OUT004,Tier 1,Small,Supermarket Type2,0.089744846,2.6,2806,0
Regular,ITEM2218,Bakery Products,2000,OUT006,Tier 1,Small,Supermarket Type2,0.07402488,1.7,1673,2
Low Fat,ITEM2225,Bakery Products,2001,OUT005,Tier 1,Small,Supermarket Type2,0.023200873,0.4,242,2
Low Fat,ITEM2255,Fruits and Vegetables,2011,OUT005,Tier 1,Small,Supermarket Type2,0.0195471,4.7,299,4
Regular,ITEM2258,Fruits and Vegetables,2020,OUT003,Tier 1,Small,Supermarket Type2,0.018333693,2.1,1091,0
Low Fat,ITEM2261,Beverages,2013,OUT010,Tier 1,Small,Supermarket Type2,0.091228603,4.7,787,1
Low Fat,ITEM2274,Fruits and Vegetables,2012,OUT010,Tier 1,Small,Supermarket Type2,0.070877522,0.1,984,2
Low Fat,ITEM2289,Bakery Products,2010,OUT009,Tier 1,Small,Supermarket Type2,0.074960647,1.8,1236,3
Regular,ITEM2304,Fruits and Vegetables,2010,OUT007,Tier 1,Small,Supermarket Type2,0.097571271,4.8,1211,3
Regular,ITEM2312,Dairy Products,2001,OUT003,Tier 1,Small,Supermarket Type2,0.034795701,0.8,2047,4
Regular,ITEM2349,Beverages,2005,OUT005,Tier 1,Small,Supermarket Type2,0.013787619,3.4,1555,5
Regular,ITEM2388,Dairy Products,2015,OUT005,Tier 1,Small,Supermarket Type2,0.019771283,1.7,366,3
Low Fat,ITEM2395,Fruits and Vegetables,2010,OUT006,Tier 1,Small,Supermarket Type2,0.087894683,3.7,1279,3
Low Fat,ITEM2414,Beverages,2010,OUT007,Tier 1,Small,Supermarket Type2,0.063846684,0.1,2147,5
Low Fat,ITEM2415,Bakery Products,2019,OUT006,Tier 1,Small,Supermarket Type2,0.013484742,2.3,2836,2
Low Fat,ITEM2439,Fruits and Vegetables,2005,OUT005,Tier 1,Small,Supermarket Type2,0.083577946,4.5,2662,1
Low Fat,ITEM2459,Bakery Products,2002,OUT002,Tier 1,Small,Supermarket Type2,0.002838353,1.7,208,0
Low Fat,ITEM2560,Snacks,2015,OUT003,Tier 1,Small,Supermarket Type2,0.001767072,0.4,397,0
Regular,ITEM2568,Dairy Products,2007,OUT002,Tier 1,Small,Supermarket Type2,0.050866912,4.6,2064,3
Low Fat,ITEM2610,Bakery Products,2008,OUT001,Tier 1,Small,Supermarket Type2,0.075831788,1.4,2640,5
Regular,ITEM2616,Beverages,2007,OUT009,Tier 1,Small,Supermarket Type2,0.072092146,3.6,981,4
Regular,ITEM2654,Dairy Products,2007,OUT004,Tier 1,Small,Supermarket Type2,0.022151833,0.6,503,1
Regular,ITEM2666,Beverages,2020,OUT002,Tier 1,Small,Supermarket Type2,0.058049787,3.1,349,1
Low Fat,ITEM2670,Bakery Products,2011,OUT008,Tier 1,Small,Supermarket Type2,0.014875304,0.5,1493,4
Regular,ITEM2681,Beverages,2017,OUT002,Tier 1,Small,Supermarket Type2,0.090437614,3.6,1002,3
Low Fat,ITEM2709,Bakery Products,2002,OUT010,Tier 1,Small,Supermarket Type2,0.031544166,0.1,1241,1
Low Fat,ITEM2710,Snacks,2017,OUT005,Tier 1,Small,Supermarket Type2,0.045203067,0.3,781,1
Regular,ITEM2720,Beverages,2002,OUT010,Tier 1,Small,Supermarket Type2,0.054330799,2.3,1451,1
Low Fat,ITEM2740,Beverages,2008,OUT008,Tier 1,Small,Supermarket Type2,0.013303726,2.5,1533,0
Low Fat,ITEM2754,Fruits and Vegetables,2003,OUT004,Tier 1,Small,Supermarket Type2,0.076999332,3.7,885,3
Regular,ITEM2762,Dairy Products,2015,OUT010,Tier 1,Small,Supermarket Type2,0.04133518,0.6,1894,1
Low Fat,ITEM2776,Dairy Products,2002,OUT008,Tier 1,Small,Supermarket Type2,0.066631781,0.9,1579,4
Regular,ITEM2814,Beverages,2006,OUT003,Tier 1,Small,Supermarket Type2,0.009229727,0.1,107,2
Regular,ITEM2830,Bakery Products,2000,OUT007,Tier 1,Small,Supermarket Type2,0.029457903,1,2251,2
Regular,ITEM2835,Beverages,2004,OUT001,Tier 1,Small,Supermarket Type2,0.017783463,3.8,2337,3
Regular,ITEM2849,Bakery Products,2017,OUT008,Tier 1,Small,Supermarket Type2,0.004419035,0.5,2865,5
Low Fat,ITEM2879,Bakery Products,2008,OUT010,Tier 1,Small,Supermarket Type2,0.037825995,1.5,1038,2
Low Fat,ITEM2899,Beverages,2008,OUT007,Tier 1,Small,Supermarket Type2,0.040791309,0.5,2198,2
Low Fat,ITEM2941,Dairy Products,2018,OUT010,Tier 1,Small,Supermarket Type2,0.018484684,2.3,1431,0
Regular,ITEM2948,Snacks,2018,OUT002,Tier 1,Small,Supermarket Type2,0.044788168,1,938,2
Regular,ITEM2995,Snacks,2007,OUT006,Tier 1,Small,Supermarket Type2,0.031388436,2.3,1982,4
Low Fat,ITEM3000,Fruits and Vegetables,2008,OUT007,Tier 1,Small,Supermarket Type2,0.080710617,0.1,924,0
Low Fat,ITEM0061,Snacks,2005,OUT004,Tier 1,Large,Supermarket Type2,0.022771521,2.3,511,3
Low Fat,ITEM0071,Snacks,2004,OUT009,Tier 1,Large,Supermarket Type2,0.08441865,0.8,569,1
Low Fat,ITEM0080,Dairy Products,2004,OUT007,Tier 1,Large,Supermarket Type2,0.017540725,2.5,846,2
Regular,ITEM0090,Bakery Products,2004,OUT002,Tier 1,Large,Supermarket Type2,0.044491539,0.6,2236,5
Regular,ITEM0110,Bakery Products,2007,OUT007,Tier 1,Large,Supermarket Type2,0.057595061,0.3,549,1
Regular,ITEM0117,Dairy Products,2018,OUT006,Tier 1,Large,Supermarket Type2,0.058597449,3.7,2106,0
Regular,ITEM0134,Snacks,2013,OUT010,Tier 1,Large,Supermarket Type2,0.010469397,3.9,279,4
Low Fat,ITEM0149,Fruits and Vegetables,2002,OUT010,Tier 1,Large,Supermarket Type2,0.040460727,4.5,924,0
Regular,ITEM0153,Dairy Products,2014,OUT005,Tier 1,Large,Supermarket Type2,0.051211341,3.2,793,2
Regular,ITEM0157,Dairy Products,2001,OUT003,Tier 1,Large,Supermarket Type2,0.066145648,0,360,1
Regular,ITEM0175,Dairy Products,2004,OUT001,Tier 1,Large,Supermarket Type2,0.089225741,2.6,826,3
Low Fat,ITEM0178,Bakery Products,2010,OUT007,Tier 1,Large,Supermarket Type2,0.098102684,3.5,1127,4
Low Fat,ITEM0190,Snacks,2018,OUT001,Tier 1,Large,Supermarket Type2,0.041216336,2.6,752,4
Low Fat,ITEM0263,Bakery Products,2015,OUT002,Tier 1,Large,Supermarket Type2,0.02370824,0.4,1508,0
Regular,ITEM0265,Fruits and Vegetables,2012,OUT003,Tier 1,Large,Supermarket Type2,0.083778031,0,2971,1
Low Fat,ITEM0306,Dairy Products,2017,OUT001,Tier 1,Large,Supermarket Type2,0.00174363,3.8,1669,4
Regular,ITEM0342,Beverages,2018,OUT006,Tier 1,Large,Supermarket Type2,0.030883212,0.5,249,4
Low Fat,ITEM0344,Fruits and Vegetables,2013,OUT003,Tier 1,Large,Supermarket Type2,0.096887533,2.3,471,3
Regular,ITEM0400,Bakery Products,2017,OUT007,Tier 1,Large,Supermarket Type2,0.086918105,4.7,1124,3
Low Fat,ITEM0416,Bakery Products,2008,OUT003,Tier 1,Large,Supermarket Type2,0.015114813,3.8,1593,4
Regular,ITEM0420,Dairy Products,2007,OUT004,Tier 1,Large,Supermarket Type2,0.023902611,2.9,979,1
Regular,ITEM0430,Snacks,2009,OUT006,Tier 1,Large,Supermarket Type2,0.065231766,1.3,642,2
Regular,ITEM0456,Bakery Products,2016,OUT003,Tier 1,Large,Supermarket Type2,0.022064547,1.4,1749,1
Low Fat,ITEM0520,Snacks,2014,OUT004,Tier 1,Large,Supermarket Type2,0.047574928,4.2,320,5
Low Fat,ITEM0521,Snacks,2004,OUT006,Tier 1,Large,Supermarket Type2,0.087863043,0.5,1549,3
Regular,ITEM0525,Fruits and Vegetables,2005,OUT010,Tier 1,Large,Supermarket Type2,0.006444856,3.9,540,2
Regular,ITEM0558,Snacks,2017,OUT005,Tier 1,Large,Supermarket Type2,0.076918559,4.3,1044,1
Regular,ITEM0585,Fruits and Vegetables,2017,OUT010,Tier 1,Large,Supermarket Type2,0.014821537,0.1,2724,3
Low Fat,ITEM0588,Bakery Products,2003,OUT007,Tier 1,Large,Supermarket Type2,0.075664795,2.4,308,5
Regular,ITEM0634,Beverages,2007,OUT005,Tier 1,Large,Supermarket Type2,0.04824235,1.3,1179,2
Regular,ITEM0644,Bakery Products,2012,OUT003,Tier 1,Large,Supermarket Type2,0.030423024,1.8,2648,5
Low Fat,ITEM0651,Snacks,2008,OUT008,Tier 1,Large,Supermarket Type2,0.068725312,3,759,1
Regular,ITEM0661,Fruits and Vegetables,2011,OUT010,Tier 1,Large,Supermarket Type2,0.034862434,3,1493,2
Low Fat,ITEM0673,Beverages,2006,OUT006,Tier 1,Large,Supermarket Type2,0.052374747,0.9,1254,0
Regular,ITEM0679,Snacks,2014,OUT003,Tier 1,Large,Supermarket Type2,0.042470541,3.4,1349,1
Regular,ITEM0694,Beverages,2012,OUT010,Tier 1,Large,Supermarket Type2,0.006071991,4,377,1
Regular,ITEM0717,Bakery Products,2019,OUT003,Tier 1,Large,Supermarket Type2,0.078663499,1.4,2765,1
Regular,ITEM0720,Fruits and Vegetables,2003,OUT009,Tier 1,Large,Supermarket Type2,0.00027577,3.8,750,4
Low Fat,ITEM0758,Snacks,2001,OUT008,Tier 1,Large,Supermarket Type2,0.035686148,3.5,207,3
Regular,ITEM0783,Fruits and Vegetables,2016,OUT003,Tier 1,Large,Supermarket Type2,0.000529624,2.1,1266,1
Regular,ITEM0798,Bakery Products,2016,OUT008,Tier 1,Large,Supermarket Type2,0.055557231,3.2,2095,2
Regular,ITEM0799,Dairy Products,2000,OUT002,Tier 1,Large,Supermarket Type2,0.032702433,2,672,4
Low Fat,ITEM0815,Beverages,2005,OUT007,Tier 1,Large,Supermarket Type2,0.02585948,1.2,334,4
Low Fat,ITEM0826,Dairy Products,2006,OUT003,Tier 1,Large,Supermarket Type2,0.015171984,1.2,2866,2
Low Fat,ITEM0840,Snacks,2019,OUT008,Tier 1,Large,Supermarket Type2,0.068212962,1.7,920,5
Low Fat,ITEM0845,Bakery Products,2004,OUT004,Tier 1,Large,Supermarket Type2,0.002662668,4.2,2130,2
Low Fat,ITEM0861,Fruits and Vegetables,2002,OUT007,Tier 1,Large,Supermarket Type2,0.070091801,4.5,1376,0
Low Fat,ITEM0910,Dairy Products,2013,OUT005,Tier 1,Large,Supermarket Type2,0.027720332,0.4,706,1
Low Fat,ITEM0923,Snacks,2005,OUT007,Tier 1,Large,Supermarket Type2,0.046549346,2.5,2984,3
Regular,ITEM0926,Beverages,2005,OUT005,Tier 1,Large,Supermarket Type2,0.066067339,0.7,2407,1
Low Fat,ITEM0958,Dairy Products,2004,OUT004,Tier 1,Large,Supermarket Type2,0.007427445,3.6,1249,1
Regular,ITEM0995,Bakery Products,2016,OUT002,Tier 1,Large,Supermarket Type2,0.086735658,2,2842,3
Regular,ITEM1034,Fruits and Vegetables,2020,OUT007,Tier 1,Large,Supermarket Type2,0.02127987,4.7,2814,5
Low Fat,ITEM1045,Beverages,2015,OUT002,Tier 1,Large,Supermarket Type2,0.082711511,1.8,2601,2
Regular,ITEM1093,Fruits and Vegetables,2012,OUT006,Tier 1,Large,Supermarket Type2,0.050552726,0.9,722,3
Low Fat,ITEM1116,Snacks,2019,OUT008,Tier 1,Large,Supermarket Type2,0.099234491,1.3,1185,2
Regular,ITEM1222,Fruits and Vegetables,2001,OUT009,Tier 1,Large,Supermarket Type2,0.006647957,4.9,1855,3
Regular,ITEM1272,Bakery Products,2014,OUT005,Tier 1,Large,Supermarket Type2,0.07584941,0.7,1685,3
Regular,ITEM1279,Beverages,2005,OUT006,Tier 1,Large,Supermarket Type2,0.008681951,4.6,588,4
Low Fat,ITEM1292,Dairy Products,2007,OUT004,Tier 1,Large,Supermarket Type2,0.022634868,0.5,1985,2
Low Fat,ITEM1320,Fruits and Vegetables,2011,OUT003,Tier 1,Large,Supermarket Type2,0.070349719,2.6,1865,3
Low Fat,ITEM1343,Beverages,2016,OUT003,Tier 1,Large,Supermarket Type2,0.025778211,4.2,516,1
Low Fat,ITEM1356,Snacks,2010,OUT008,Tier 1,Large,Supermarket Type2,0.071776553,4.1,1810,4
Low Fat,ITEM1462,Snacks,2001,OUT005,Tier 1,Large,Supermarket Type2,0.077231426,3.7,1680,2
Low Fat,ITEM1498,Dairy Products,2015,OUT002,Tier 1,Large,Supermarket Type2,0.007986631,4.9,1240,2
Regular,ITEM1504,Snacks,2014,OUT010,Tier 1,Large,Supermarket Type2,0.007857319,1.1,171,2
Low Fat,ITEM1535,Bakery Products,2007,OUT008,Tier 1,Large,Supermarket Type2,0.009054734,1.9,1686,2
Low Fat,ITEM1595,Fruits and Vegetables,2020,OUT009,Tier 1,Large,Supermarket Type2,0.030850599,2,1411,0
Low Fat,ITEM1596,Beverages,2020,OUT001,Tier 1,Large,Supermarket Type2,0.04845963,0.6,2812,2
Low Fat,ITEM1602,Dairy Products,2006,OUT004,Tier 1,Large,Supermarket Type2,0.039146601,2,1536,1
Low Fat,ITEM1638,Bakery Products,2012,OUT010,Tier 1,Large,Supermarket Type2,0.02355266,3.9,1219,5
Regular,ITEM1670,Fruits and Vegetables,2010,OUT005,Tier 1,Large,Supermarket Type2,0.0365869,2.7,2603,5
Regular,ITEM1679,Dairy Products,2003,OUT008,Tier 1,Large,Supermarket Type2,0.03646202,3.5,1119,3
Regular,ITEM1690,Beverages,2020,OUT008,Tier 1,Large,Supermarket Type2,0.026574437,2.1,2919,5
Low Fat,ITEM1707,Snacks,2003,OUT003,Tier 1,Large,Supermarket Type2,0.031848802,1,2314,4
Regular,ITEM1756,Beverages,2017,OUT001,Tier 1,Large,Supermarket Type2,0.044024286,3.9,819,5
Low Fat,ITEM1763,Bakery Products,2003,OUT005,Tier 1,Large,Supermarket Type2,0.048096574,0.6,714,5
Regular,ITEM1858,Snacks,2015,OUT005,Tier 1,Large,Supermarket Type2,0.047801162,1.1,2505,4
Regular,ITEM1928,Dairy Products,2018,OUT006,Tier 1,Large,Supermarket Type2,0.062412294,1.7,1103,3
Regular,ITEM1930,Dairy Products,2017,OUT002,Tier 1,Large,Supermarket Type2,0.008228069,4,312,3
Regular,ITEM1956,Beverages,2016,OUT002,Tier 1,Large,Supermarket Type2,0.001850158,0.3,1186,0
Regular,ITEM2014,Dairy Products,2005,OUT008,Tier 1,Large,Supermarket Type2,0.077103566,1.1,2643,3
Low Fat,ITEM2017,Dairy Products,2012,OUT002,Tier 1,Large,Supermarket Type2,0.025510755,2.2,317,4
Regular,ITEM2037,Bakery Products,2015,OUT005,Tier 1,Large,Supermarket Type2,0.040291742,3.2,2533,2
Regular,ITEM2074,Snacks,2008,OUT004,Tier 1,Large,Supermarket Type2,0.075326163,1,2168,4
Regular,ITEM2082,Dairy Products,2010,OUT008,Tier 1,Large,Supermarket Type2,0.091766543,5,2808,1
Low Fat,ITEM2091,Beverages,2003,OUT009,Tier 1,Large,Supermarket Type2,0.022115459,0.4,629,3
Regular,ITEM2105,Dairy Products,2008,OUT009,Tier 1,Large,Supermarket Type2,0.011242166,1.4,2639,2
Low Fat,ITEM2166,Snacks,2019,OUT004,Tier 1,Large,Supermarket Type2,0.092026293,1.3,2942,1
Regular,ITEM2178,Fruits and Vegetables,2003,OUT006,Tier 1,Large,Supermarket Type2,0.044711257,1.5,129,3
Low Fat,ITEM2183,Bakery Products,2018,OUT004,Tier 1,Large,Supermarket Type2,0.082741136,2.9,1715,4
Low Fat,ITEM2203,Beverages,2017,OUT009,Tier 1,Large,Supermarket Type2,0.084586073,2.1,1157,1
Low Fat,ITEM2209,Bakery Products,2005,OUT003,Tier 1,Large,Supermarket Type2,0.000584632,4.2,2719,5
Low Fat,ITEM2212,Fruits and Vegetables,2007,OUT007,Tier 1,Large,Supermarket Type2,0.098745878,2.1,1159,4
Regular,ITEM2219,Bakery Products,2000,OUT006,Tier 1,Large,Supermarket Type2,0.011554558,0,525,2
Low Fat,ITEM2291,Dairy Products,2004,OUT003,Tier 1,Large,Supermarket Type2,0.05629144,0.5,1545,4
Regular,ITEM2321,Fruits and Vegetables,2018,OUT008,Tier 1,Large,Supermarket Type2,0.00973094,3.6,399,2
Low Fat,ITEM2341,Bakery Products,2012,OUT007,Tier 1,Large,Supermarket Type2,0.03868247,0.6,666,1
Low Fat,ITEM2362,Dairy Products,2016,OUT004,Tier 1,Large,Supermarket Type2,0.075419239,4.4,1486,3
Regular,ITEM2365,Bakery Products,2004,OUT007,Tier 1,Large,Supermarket Type2,0.06085664,1.3,2424,0
Regular,ITEM2397,Snacks,2017,OUT005,Tier 1,Large,Supermarket Type2,0.087681717,2.3,2967,4
Low Fat,ITEM2453,Beverages,2004,OUT006,Tier 1,Large,Supermarket Type2,0.032268567,2.8,809,3
Low Fat,ITEM2470,Snacks,2003,OUT009,Tier 1,Large,Supermarket Type2,0.09443701,0.1,1664,1
Regular,ITEM2481,Dairy Products,2005,OUT001,Tier 1,Large,Supermarket Type2,0.081817948,4.9,2217,5
Regular,ITEM2506,Fruits and Vegetables,2008,OUT008,Tier 1,Large,Supermarket Type2,0.097794529,1.2,2416,3
Low Fat,ITEM2523,Dairy Products,2018,OUT009,Tier 1,Large,Supermarket Type2,0.084373252,1.9,2929,1
Regular,ITEM2524,Dairy Products,2010,OUT006,Tier 1,Large,Supermarket Type2,0.034096167,4.7,1766,0
Regular,ITEM2533,Bakery Products,2003,OUT006,Tier 1,Large,Supermarket Type2,0.029597675,1,1832,1
Regular,ITEM2558,Beverages,2018,OUT009,Tier 1,Large,Supermarket Type2,0.023358893,3.6,1493,3
Regular,ITEM2583,Beverages,2007,OUT010,Tier 1,Large,Supermarket Type2,0.047957662,3,1284,3
Regular,ITEM2660,Dairy Products,2016,OUT010,Tier 1,Large,Supermarket Type2,0.093141709,3.5,1346,3
Low Fat,ITEM2672,Beverages,2015,OUT002,Tier 1,Large,Supermarket Type2,0.004727072,0.8,800,4
Regular,ITEM2707,Dairy Products,2004,OUT001,Tier 1,Large,Supermarket Type2,0.013223484,0.1,1809,0
Regular,ITEM2722,Bakery Products,2009,OUT002,Tier 1,Large,Supermarket Type2,0.045314059,3,1274,3
Regular,ITEM2772,Dairy Products,2004,OUT003,Tier 1,Large,Supermarket Type2,0.020425606,3.4,2939,2
Regular,ITEM2777,Fruits and Vegetables,2015,OUT002,Tier 1,Large,Supermarket Type2,0.094993812,4.3,1078,3
Low Fat,ITEM2795,Beverages,2006,OUT010,Tier 1,Large,Supermarket Type2,0.058014129,1.8,367,2
Low Fat,ITEM2798,Bakery Products,2018,OUT001,Tier 1,Large,Supermarket Type2,0.042234883,0.8,74,1
Regular,ITEM2821,Snacks,2020,OUT007,Tier 1,Large,Supermarket Type2,0.096202107,1.9,124,2
Low Fat,ITEM2828,Beverages,2009,OUT007,Tier 1,Large,Supermarket Type2,0.028605236,2,2695,2
Regular,ITEM2898,Snacks,2000,OUT004,Tier 1,Large,Supermarket Type2,0.003573135,1.9,987,1
Regular,ITEM2917,Snacks,2016,OUT007,Tier 1,Large,Supermarket Type2,0.086042482,2.3,2864,2
Regular,ITEM2961,Beverages,2018,OUT003,Tier 1,Large,Supermarket Type2,0.033226942,1.2,1060,0
Low Fat,ITEM2974,Dairy Products,2006,OUT004,Tier 1,Large,Supermarket Type2,0.019453423,3,580,2
Low Fat,ITEM2986,Fruits and Vegetables,2015,OUT010,Tier 1,Large,Supermarket Type2,0.014620356,4.7,1569,2
Regular,ITEM2987,Bakery Products,2007,OUT001,Tier 1,Large,Supermarket Type2,0.03443365,4.3,1805,0
Regular,ITEM0009,Snacks,2009,OUT001,Tier 3,Medium,Supermarket Type2,0.04790563,3.9,2268,0
Regular,ITEM0019,Snacks,2003,OUT007,Tier 3,Medium,Supermarket Type2,0.009750151,3.8,2097,0
Low Fat,ITEM0069,Dairy Products,2016,OUT007,Tier 3,Medium,Supermarket Type2,0.070028706,3.7,2336,4
